Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
-0.11,-0.25,-0.02,-0.23,-0.43,-0.04,0.01,0.09,-0.01,-0.21,-0.13,-0.25,-0.26,-0.55,0.09,0.16,0.32,0.11,-0.77,-1.73,0.75,0.76,0.72,0.79,1.38,0.84,0.36
-0.24,-0.28,-0.23,-0.23,-0.17,-0.28,-0.26,-0.47,-0.19,-0.32,-0.37,-0.30,-0.15,-0.06,-0.27,-0.26,-0.70,-0.14,-1.73,-1.92,-1.43,-0.46,-0.34,-0.56,0.33,-0.60,-1.89
-0.01,0.22,-0.15,0.12,0.46,-0.21,-0.14,-0.25,-0.11,-0.18,-0.24,-0.15,0.29,0.75,-0.29,-0.14,-0.42,-0.06,-0.47,0.37,-1.81,-0.96,-1.01,-0.93,1.01,1.17,0.71
-0.10,-0.08,-0.11,-0.13,-0.10,-0.15,-0.08,-0.04,-0.09,-0.02,0.07,-0.06,-0.19,-0.16,-0.23,-0.10,-0.13,-0.09,-0.21,0.16,-0.79,0.07,0.09,0.06,0.46,0.91,0.06
0.01,0.03,0.01,0.04,-0.05,0.12,-0.01,0.18,-0.07,-0.01,-0.01,-0.01,0.05,-0.06,0.19,0.01,0.34,-0.08,-0.09,-0.31,0.27,0.36,0.92,-0.09,-0.89,-0.53,0.43
0.04,0.01,0.05,0.18,0.21,0.15,-0.11,-0.38,-0.02,0.03,0.07,0.02,0.24,0.24,0.24,-0.16,-0.71,-0.02,0.07,-0.09,0.32,-1.16,-1.61,-0.80,0.73,0.69,0.03
-0.03,-0.01,-0.04,-0.07,-0.09,-0.06,0.02,0.15,-0.03,-0.18,-0.23,-0.15,-0.02,-0.05,0.02,0.12,0.47,0.02,-0.05,-0.03,-0.07,1.54,1.81,1.33,-0.39,-0.32,-0.10
-0.05,-0.17,0.01,-0.04,-0.14,0.05,-0.06,-0.23,-0.01,-0.05,-0.04,-0.05,-0.08,-0.21,0.09,-0.03,-0.27,0.03,-0.10,-0.52,0.57,-0.55,-0.71,-0.43,-0.46,-0.21,0.01
-0.13,-0.20,-0.08,-0.09,-0.10,-0.08,-0.16,-0.40,-0.08,-0.07,-0.11,-0.05,-0.11,-0.13,-0.09,-0.19,-0.54,-0.10,-0.50,-0.82,0.01,-0.58,-0.81,-0.40,1.02,0.86,-0.52
0.01,0.06,-0.02,0.02,0.01,0.03,-0.00,0.17,-0.06,0.06,0.13,0.03,-0.00,-0.03,0.04,-0.03,0.22,-0.10,-1.09,-1.04,-1.16,-0.35,0.08,-0.68,0.23,-0.07,-0.08
0.20,0.29,0.15,0.15,0.18,0.11,0.26,0.49,0.18,0.15,0.22,0.11,0.15,0.18,0.11,0.32,0.70,0.21,-2.15,-2.15,-2.15,0.20,0.46,-0.02,1.44,0.59,1.27
0.13,0.22,0.08,0.09,0.12,0.06,0.16,0.40,0.08,0.09,0.15,0.06,0.08,0.07,0.10,0.22,0.72,0.08,-1.39,-1.12,-1.83,0.68,1.05,0.39,-0.22,-0.32,0.73
0.02,-0.09,0.09,-0.02,-0.15,0.10,0.07,0.01,0.09,0.16,0.13,0.17,-0.13,-0.26,0.02,0.04,-0.04,0.06,-0.18,-0.08,-0.34,-0.25,-0.21,-0.28,-0.83,-0.54,0.31
0.06,0.15,0.01,0.00,-0.06,0.06,0.12,0.55,-0.03,0.14,0.15,0.14,-0.08,-0.12,-0.02,0.11,0.87,-0.10,0.11,-0.05,0.36,0.92,1.48,0.48,1.75,1.43,1.20
0.17,0.04,0.25,0.23,0.11,0.35,0.11,-0.11,0.19,0.15,0.13,0.16,0.24,0.08,0.45,0.14,-0.22,0.23,-0.02,-0.45,0.66,-0.44,-0.65,-0.28,-0.18,-0.03,0.17
0.02,0.22,-0.09,0.03,0.19,-0.11,0.01,0.28,-0.08,-0.01,-0.07,0.02,0.03,0.23,-0.23,0.05,0.66,-0.12,-0.36,0.46,-1.66,0.96,1.58,0.48,0.17,0.21,-0.09
0.08,0.06,0.10,0.20,0.12,0.27,-0.03,-0.06,-0.02,0.13,0.04,0.18,0.23,0.15,0.34,-0.12,-0.16,-0.11,0.31,0.44,0.09,-0.26,-0.76,0.13,0.89,0.83,-0.24
0.28,0.37,0.22,0.25,0.29,0.21,0.31,0.53,0.23,0.30,0.31,0.29,0.23,0.27,0.17,0.31,0.74,0.20,0.13,0.38,-0.26,0.96,1.47,0.55,-0.18,-0.07,1.25
0.12,0.25,0.05,0.14,0.16,0.13,0.09,0.41,-0.01,0.07,0.04,0.09,0.19,0.20,0.17,0.10,0.72,-0.07,0.54,0.52,0.57,1.08,1.71,0.58,-0.20,-0.36,0.31
0.14,0.23,0.09,0.12,0.10,0.14,0.16,0.46,0.06,-0.01,-0.06,0.02,0.20,0.18,0.22,0.24,0.84,0.08,0.21,0.19,0.22,1.10,1.73,0.60,0.06,-0.07,0.39
-0.05,0.06,-0.12,0.02,0.02,0.01,-0.12,0.15,-0.21,0.05,-0.02,0.09,-0.02,0.00,-0.04,-0.19,0.37,-0.34,0.26,0.20,0.36,0.25,0.87,-0.24,0.07,0.25,-0.08
-0.17,-0.16,-0.17,-0.10,-0.15,-0.06,-0.23,-0.19,-0.24,-0.36,-0.46,-0.31,0.04,-0.06,0.16,-0.17,0.04,-0.22,-0.62,-0.43,-0.92,0.29,0.12,0.43,0.28,0.39,0.63
-0.22,-0.17,-0.24,-0.14,-0.11,-0.17,-0.29,-0.28,-0.29,-0.22,-0.31,-0.18,-0.11,-0.05,-0.19,-0.31,-0.24,-0.33,-0.59,0.01,-1.55,0.05,0.16,-0.05,-0.62,-0.47,-0.32
-0.21,-0.22,-0.20,-0.29,-0.38,-0.20,-0.13,0.08,-0.20,-0.13,-0.25,-0.07,-0.34,-0.40,-0.28,-0.15,0.28,-0.27,-1.14,-1.06,-1.27,1.45,2.10,0.93,1.19,0.68,-0.93
-0.13,-0.11,-0.15,-0.18,-0.12,-0.24,-0.09,-0.08,-0.09,-0.16,-0.37,-0.06,-0.15,0.05,-0.40,-0.09,-0.07,-0.09,-0.30,0.08,-0.91,0.44,0.39,0.48,0.54,0.49,-1.09
-0.23,-0.24,-0.23,-0.22,-0.32,-0.13,-0.25,-0.09,-0.30,-0.02,-0.24,0.09,-0.30,-0.29,-0.31,-0.39,-0.11,-0.46,-0.43,-0.12,-0.92,0.20,0.10,0.28,1.02,0.80,-0.01
-0.12,-0.19,-0.08,-0.23,-0.33,-0.14,-0.01,0.08,-0.04,0.12,0.03,0.16,-0.42,-0.43,-0.39,-0.07,0.10,-0.12,0.06,0.10,-0.02,0.12,0.10,0.14,-0.12,-0.26,0.41
-0.29,-0.46,-0.18,-0.47,-0.66,-0.28,-0.11,-0.08,-0.11,0.10,0.03,0.13,-0.76,-0.88,-0.61,-0.22,-0.21,-0.22,-1.58,-1.78,-1.26,0.09,-0.00,0.16,0.60,0.31,-0.46
-0.27,-0.44,-0.17,-0.54,-0.71,-0.37,0.00,0.10,-0.03,-0.03,-0.00,-0.04,-0.76,-0.89,-0.60,-0.02,0.03,-0.04,-1.73,-1.51,-2.07,0.75,0.88,0.64,0.33,-0.12,-0.39
-0.25,-0.41,-0.16,-0.45,-0.66,-0.25,-0.05,0.09,-0.09,0.01,-0.02,0.03,-0.70,-0.86,-0.49,-0.08,0.14,-0.14,-1.13,-1.27,-0.92,0.53,0.75,0.35,-0.50,-0.43,-0.26
-0.40,-0.59,-0.30,-0.63,-0.86,-0.42,-0.18,-0.06,-0.22,-0.33,-0.41,-0.29,-0.78,-1.00,-0.50,-0.11,0.21,-0.19,-1.08,-1.09,-1.07,0.30,0.54,0.11,-1.48,-1.21,0.25
-0.47,-0.54,-0.43,-0.54,-0.61,-0.48,-0.39,-0.39,-0.39,-0.28,-0.40,-0.22,-0.68,-0.67,-0.70,-0.45,-0.40,-0.46,-1.06,-0.75,-1.56,-0.21,0.14,-0.49,-1.41,-1.20,-0.48
-0.47,-0.79,-0.29,-0.45,-0.70,-0.22,-0.49,-0.96,-0.34,-0.34,-0.43,-0.30,-0.53,-0.79,-0.21,-0.55,-1.37,-0.33,-0.82,-1.11,-0.36,-1.42,-2.04,-0.92,0.01,-0.72,-1.13
-0.25,-0.39,-0.17,-0.30,-0.39,-0.22,-0.21,-0.39,-0.14,-0.21,-0.22,-0.20,-0.36,-0.44,-0.27,-0.19,-0.53,-0.09,-0.92,-1.01,-0.78,-0.42,-0.43,-0.41,0.31,0.08,-1.26
-0.26,-0.44,-0.16,-0.24,-0.35,-0.14,-0.28,-0.63,-0.17,-0.35,-0.48,-0.28,-0.17,-0.27,-0.04,-0.27,-0.83,-0.11,-0.85,-0.93,-0.72,-0.42,-0.78,-0.13,-1.03,-0.78,-1.38
-0.31,-0.33,-0.30,-0.26,-0.24,-0.28,-0.35,-0.48,-0.31,-0.26,-0.30,-0.24,-0.27,-0.21,-0.35,-0.39,-0.66,-0.32,-0.96,-0.59,-1.56,-0.19,-0.88,0.35,-0.05,-0.31,-0.92
-0.34,-0.26,-0.39,-0.38,-0.29,-0.46,-0.30,-0.20,-0.34,-0.34,-0.50,-0.25,-0.40,-0.22,-0.63,-0.29,0.04,-0.37,-1.36,-0.52,-2.69,0.60,0.52,0.65,-0.26,-0.47,-0.40
-0.29,-0.36,-0.26,-0.28,-0.30,-0.26,-0.31,-0.47,-0.26,-0.44,-0.64,-0.34,-0.18,-0.16,-0.22,-0.25,-0.40,-0.21,-0.04,0.15,-0.35,-0.10,-0.38,0.12,-1.28,-0.80,-0.64
-0.46,-0.44,-0.47,-0.49,-0.42,-0.55,-0.43,-0.48,-0.42,-0.37,-0.47,-0.31,-0.57,-0.40,-0.78,-0.45,-0.48,-0.44,-1.13,-0.38,-2.32,-0.36,-0.69,-0.10,-0.64,-0.43,-0.46
-0.33,-0.53,-0.21,-0.46,-0.65,-0.29,-0.19,-0.30,-0.16,-0.13,-0.31,-0.04,-0.62,-0.73,-0.47,-0.25,-0.36,-0.22,-0.39,-0.56,-0.12,-0.33,-0.75,0.01,-1.01,-0.59,0.04
-0.26,-0.40,-0.17,-0.28,-0.32,-0.24,-0.24,-0.56,-0.13,-0.06,-0.10,-0.04,-0.37,-0.37,-0.36,-0.36,-1.00,-0.19,0.38,0.23,0.63,-1.09,-1.91,-0.44,-0.22,0.06,-0.52
-0.11,-0.26,-0.03,-0.17,-0.30,-0.05,-0.06,-0.19,-0.01,0.02,-0.10,0.08,-0.27,-0.37,-0.14,-0.10,-0.26,-0.05,-0.03,-0.29,0.40,-0.35,-0.98,0.15,-0.73,-0.64,-0.03
-0.11,-0.15,-0.09,-0.17,-0.25,-0.10,-0.05,0.04,-0.08,-0.02,-0.07,0.01,-0.24,-0.31,-0.14,-0.09,0.13,-0.15,0.12,0.11,0.13,-0.21,0.06,-0.42,-0.68,-0.36,0.56
-0.25,-0.37,-0.18,-0.30,-0.42,-0.18,-0.21,-0.29,-0.18,-0.21,-0.28,-0.18,-0.36,-0.51,-0.16,-0.19,-0.16,-0.20,-0.41,-0.47,-0.33,0.01,-0.15,0.14,-0.53,-0.45,-0.01
-0.41,-0.59,-0.31,-0.50,-0.61,-0.39,-0.33,-0.55,-0.26,-0.24,-0.29,-0.21,-0.64,-0.75,-0.49,-0.38,-0.66,-0.30,-0.99,-1.23,-0.59,-0.72,-0.81,-0.66,-0.93,-0.85,-1.23
-0.19,-0.31,-0.11,-0.26,-0.36,-0.17,-0.11,-0.20,-0.08,0.04,-0.06,0.09,-0.42,-0.48,-0.34,-0.19,-0.27,-0.17,-0.58,-0.56,-0.62,-0.54,-0.69,-0.42,-0.66,-0.23,-0.63
-0.17,-0.43,-0.03,-0.27,-0.55,-0.00,-0.08,-0.20,-0.04,0.15,0.10,0.18,-0.48,-0.77,-0.11,-0.21,-0.40,-0.16,-0.46,-0.75,0.00,-0.42,-0.97,0.02,-0.89,-0.69,0.01
-0.01,-0.05,0.02,-0.01,0.02,-0.04,-0.00,-0.20,0.07,0.26,0.18,0.30,-0.13,-0.02,-0.27,-0.16,-0.54,-0.06,-1.26,-0.97,-1.71,-0.90,-1.35,-0.55,0.07,0.21,-0.21
-0.09,-0.19,-0.04,-0.06,-0.19,0.06,-0.13,-0.19,-0.10,0.04,0.04,0.04,-0.11,-0.29,0.11,-0.21,-0.33,-0.18,-0.56,-0.96,0.08,-0.70,-0.77,-0.65,-0.84,-0.48,0.26
-0.24,-0.73,0.04,-0.29,-0.77,0.16,-0.19,-0.65,-0.04,-0.07,-0.17,-0.01,-0.41,-0.98,0.30,-0.25,-1.02,-0.05,-0.65,-1.32,0.42,-1.15,-1.73,-0.69,-1.19,-1.00,-0.61
-0.24,-0.32,-0.20,-0.23,-0.19,-0.26,-0.26,-0.57,-0.16,-0.17,-0.26,-0.13,-0.24,-0.16,-0.34,-0.32,-0.85,-0.18,-1.18,-0.70,-1.95,-0.60,-1.27,-0.07,0.54,0.18,-1.06
-0.16,-0.11,-0.19,-0.11,-0.13,-0.08,-0.21,-0.07,-0.26,-0.13,-0.21,-0.08,-0.09,-0.09,-0.09,-0.26,0.04,-0.34,0.30,0.17,0.52,0.14,0.34,-0.02,0.47,0.50,-0.50
-0.14,-0.14,-0.15,0.01,-0.00,0.02,-0.29,-0.40,-0.26,-0.09,-0.21,-0.04,0.07,0.07,0.07,-0.40,-0.56,-0.36,-0.24,0.12,-0.82,-0.57,-1.08,-0.17,0.10,0.02,-0.31
-0.00,0.15,-0.09,0.04,0.11,-0.03,-0.04,0.24,-0.13,-0.15,-0.27,-0.09,0.13,0.23,-0.00,0.03,0.66,-0.14,-0.40,-0.32,-0.52,0.53,1.51,-0.24,0.92,0.66,-0.23
-0.03,0.00,-0.05,0.05,0.05,0.05,-0.11,-0.09,-0.12,-0.11,-0.27,-0.03,0.12,0.15,0.08,-0.10,0.07,-0.15,0.09,0.36,-0.35,0.10,0.26,-0.02,-0.35,-0.27,0.05
-0.14,-0.23,-0.08,-0.07,-0.07,-0.07,-0.20,-0.54,-0.09,-0.13,-0.30,-0.04,-0.04,0.03,-0.12,-0.24,-0.81,-0.09,-0.13,0.26,-0.76,-1.68,-1.88,-1.51,-0.18,0.16,-0.44
-0.07,-0.04,-0.08,-0.01,0.00,-0.03,-0.12,-0.14,-0.11,-0.01,-0.17,0.08,-0.02,0.07,-0.15,-0.17,-0.14,-0.18,-0.47,0.09,-1.37,0.18,0.00,0.32,-0.12,-0.19,-0.92
-0.25,-0.20,-0.28,-0.04,-0.04,-0.05,-0.45,-0.50,-0.44,-0.19,-0.31,-0.13,0.03,0.04,0.02,-0.58,-0.63,-0.57,-0.32,0.16,-1.08,-0.40,-0.32,-0.47,-0.20,-0.32,-0.82
0.03,0.14,-0.04,0.11,0.10,0.13,-0.06,0.21,-0.15,0.02,0.00,0.04,0.18,0.17,0.19,-0.12,0.28,-0.23,-1.06,-1.16,-0.92,0.62,0.77,0.51,-0.04,-0.40,-0.27
0.03,0.02,0.03,-0.01,-0.01,-0.00,0.07,0.09,0.06,0.20,0.02,0.30,-0.10,0.01,-0.25,-0.02,0.06,-0.04,-0.72,-0.29,-1.41,-0.10,-0.56,0.26,1.45,0.93,0.32
0.02,0.06,0.00,0.19,0.29,0.10,-0.15,-0.37,-0.07,0.14,-0.05,0.23,0.22,0.42,-0.03,-0.29,-0.69,-0.19,0.68,1.25,-0.22,-0.89,-1.45,-0.44,0.05,0.25,-0.39
-0.02,0.11,-0.10,0.13,0.34,-0.07,-0.18,-0.33,-0.13,-0.00,-0.26,0.13,0.21,0.56,-0.23,-0.28,-0.46,-0.24,0.50,1.08,-0.43,-0.46,-0.49,-0.43,0.53,0.51,-0.90
-0.13,-0.20,-0.08,-0.17,-0.22,-0.13,-0.09,-0.18,-0.05,0.04,-0.12,0.12,-0.28,-0.22,-0.36,-0.15,-0.30,-0.11,-0.86,-0.50,-1.45,-0.01,-0.16,0.12,0.53,0.17,-0.41
0.10,0.03,0.15,0.17,0.04,0.29,0.04,0.01,0.05,0.17,0.12,0.19,0.15,0.01,0.33,-0.01,-0.09,0.01,1.80,1.53,2.24,0.17,0.00,0.30,-1.19,-0.62,-0.46
-0.02,-0.10,0.03,0.08,-0.03,0.19,-0.12,-0.23,-0.08,0.05,0.04,0.05,0.11,-0.05,0.31,-0.21,-0.46,-0.14,0.52,0.52,0.52,-0.77,-1.20,-0.43,-1.12,-0.56,-0.24
0.07,0.20,-0.01,0.21,0.32,0.11,-0.08,-0.04,-0.09,0.24,0.29,0.21,0.19,0.31,0.04,-0.23,-0.26,-0.23,0.18,0.23,0.10,0.03,-0.33,0.32,-0.49,-0.41,-0.40
0.03,0.21,-0.08,0.02,0.01,0.03,0.04,0.62,-0.16,0.09,0.20,0.03,0.02,-0.01,0.07,-0.03,0.84,-0.26,-0.18,-0.49,0.31,1.35,2.31,0.59,-0.09,0.01,-0.03
0.20,0.39,0.09,0.24,0.29,0.19,0.17,0.61,0.02,0.25,0.31,0.21,0.29,0.33,0.24,0.07,0.69,-0.10,0.56,0.55,0.58,0.41,0.83,0.07,1.24,0.96,1.04
0.11,0.05,0.13,0.16,0.02,0.29,0.05,0.13,0.03,0.15,0.19,0.13,0.17,-0.02,0.42,-0.01,0.02,-0.02,0.68,0.42,1.10,-0.54,-0.59,-0.49,-0.32,0.19,0.39
-0.02,0.06,-0.06,-0.04,0.10,-0.17,0.01,-0.01,0.01,0.04,0.13,-0.01,-0.08,0.10,-0.30,-0.01,-0.15,0.02,-0.99,-0.70,-1.45,-0.09,-0.42,0.18,0.23,0.18,0.41
0.04,0.15,-0.03,0.24,0.22,0.25,-0.16,0.02,-0.22,-0.02,0.06,-0.06,0.35,0.28,0.44,-0.21,-0.01,-0.26,0.92,0.65,1.36,-0.63,-0.23,-0.94,-0.34,-0.23,0.24
-0.21,-0.38,-0.11,-0.39,-0.46,-0.32,-0.03,-0.21,0.03,-0.22,-0.27,-0.20,-0.48,-0.50,-0.46,0.07,-0.24,0.16,-0.65,-0.61,-0.71,-0.42,-0.82,-0.11,-0.01,-0.12,0.30
-0.19,-0.43,-0.05,-0.19,-0.44,0.05,-0.19,-0.40,-0.12,-0.26,-0.15,-0.32,-0.18,-0.55,0.30,-0.12,-0.54,-0.01,0.63,0.14,1.41,-0.57,-0.85,-0.35,-0.64,-0.73,-0.12
-0.00,-0.05,0.03,-0.05,-0.07,-0.04,0.05,-0.02,0.07,-0.08,-0.02,-0.11,-0.03,-0.09,0.04,0.11,-0.00,0.13,-0.18,-0.05,-0.40,0.19,0.39,0.02,0.50,0.29,-0.13
-0.03,-0.27,0.11,-0.16,-0.43,0.10,0.09,0.03,0.11,-0.01,0.03,-0.03,-0.24,-0.58,0.20,0.14,0.04,0.17,0.91,0.68,1.27,0.25,0.08,0.39,-1.25,-0.63,0.11
-0.16,-0.34,-0.05,-0.44,-0.70,-0.20,0.13,0.37,0.05,-0.12,-0.13,-0.12,-0.60,-0.86,-0.26,0.25,0.70,0.12,0.15,-0.32,0.89,0.88,1.60,0.32,-0.57,-0.53,0.35
-0.20,-0.23,-0.17,-0.21,-0.15,-0.26,-0.19,-0.40,-0.11,-0.10,-0.12,-0.09,-0.27,-0.16,-0.41,-0.22,-0.63,-0.11,-0.77,-0.69,-0.89,-1.17,-1.70,-0.75,0.13,0.23,0.16
-0.18,-0.19,-0.18,-0.18,-0.17,-0.19,-0.19,-0.23,-0.18,-0.06,-0.12,-0.03,-0.22,-0.16,-0.29,-0.28,-0.40,-0.25,-0.88,-0.65,-1.26,-0.25,-0.59,0.02,0.73,0.49,0.34
-0.09,-0.10,-0.08,-0.12,-0.14,-0.10,-0.06,-0.02,-0.07,0.00,-0.02,0.02,-0.17,-0.17,-0.18,-0.10,-0.05,-0.11,-0.76,-0.40,-1.32,-0.17,0.01,-0.32,-0.03,-0.14,0.23
0.04,0.10,0.01,-0.19,-0.27,-0.11,0.27,0.82,0.09,-0.08,0.01,-0.12,-0.21,-0.33,-0.06,0.42,1.39,0.16,-0.84,-0.89,-0.76,2.21,3.23,1.39,0.06,-0.16,0.05
0.02,-0.04,0.06,-0.14,-0.23,-0.05,0.19,0.33,0.14,0.03,0.02,0.03,-0.24,-0.32,-0.14,0.28,0.58,0.20,-0.02,-0.08,0.08,0.83,1.17,0.56,-0.99,-1.05,0.47
-0.04,-0.11,0.00,-0.07,-0.14,-0.00,-0.01,-0.06,0.01,-0.03,-0.04,-0.03,-0.11,-0.19,-0.02,0.03,-0.03,0.04,-0.19,-0.26,-0.10,-0.27,-0.50,-0.09,0.21,-0.17,0.44
0.01,0.09,-0.04,0.18,0.16,0.19,-0.16,-0.05,-0.19,-0.15,-0.22,-0.12,0.35,0.30,0.41,-0.16,0.07,-0.22,1.54,1.62,1.41,0.45,0.56,0.36,-0.75,-0.16,0.01
-0.08,0.02,-0.13,-0.01,0.02,-0.04,-0.14,0.02,-0.20,-0.21,-0.17,-0.23,0.12,0.11,0.14,-0.14,0.09,-0.20,0.32,0.13,0.63,-0.02,0.15,-0.16,-0.04,-0.01,0.05
-0.18,-0.19,-0.17,-0.35,-0.18,-0.51,-0.00,-0.20,0.06,-0.34,-0.37,-0.33,-0.34,-0.11,-0.63,0.16,-0.08,0.23,-0.87,-0.48,-1.51,-0.22,-0.31,-0.15,-0.45,-0.51,-0.36
